ID,wordName,turkishDefiniton,grupNo,part,subPart
34,get along with,"iyi geçinmek, anlaşmak",1055,PHRASAL VERBS,
35,get around,"halletmek, üstesinden gelmek",1055,PHRASAL VERBS,
36,get over,"iyileşmek, atlatmak",1055,PHRASAL VERBS,
37,get rid of,kurtulmak,1055,PHRASAL VERBS,
38,give away,"bağışlamak, ücretsiz vermek",1055,PHRASAL VERBS,
39,give in,"teslim olmak, kabullenmek, boyun eğmek",1055,PHRASAL VERBS,
40,"give off,&give out","yaymak, salmak (gaz, enerji)",1055,PHRASAL VERBS,
41,give up,"vazgeçmek, bırakmak",1055,PHRASAL VERBS,
42,go over,"üzerinden geçmek, detaylıca incelemek",1055,PHRASAL VERBS,
43,go through,"geçirmek, yaşamak (tecrübe, olay)  / çekmek (hastalık) / incelemek",1055,PHRASAL VERBS,
44,hand down,"devretmek, aktarmak (kuşaktan kuşağa), miras bırakmak",1055,PHRASAL VERBS,
45,hand in,"elden teslim etmek, ibraz etmek",1055,PHRASAL VERBS,
46,keep on,devam etmek,1055,PHRASAL VERBS,
47,keep off,"uzak durmak, yaklaşmamak",1055,PHRASAL VERBS,
48,keep up with,"arayı kapatmak, yakalamak / güncel kalmak, haberdar olmak",1055,PHRASAL VERBS,
49,lay out,"bir düzene sokmak, tasarlamak",1055,PHRASAL VERBS,
50,let down,"üzmek, hayal kırıklığına uğratmak",1055,PHRASAL VERBS,
51,look after,"bakmak, ilgilenmek, göz kulak olmak",1055,PHRASAL VERBS,
52,look down on,"tepeden bakmak, hor görmek, aşağılamak",1055,PHRASAL VERBS,
53,look for,aramak,1055,PHRASAL VERBS,
54,look into,"incelemek, araştırmak",1055,PHRASAL VERBS,
55,look out,"sakınmak, gözetmek, dikkat etmek",1055,PHRASAL VERBS,
56,look over,"göz gezdirmek, kısaca incelemek",1055,PHRASAL VERBS,
57,look up,sözlükte kelime aramak / iyiye gitmek,1055,PHRASAL VERBS,
58,look up to,"hayranlık duymak, saygı duymak",1055,PHRASAL VERBS,
59,make do with,"ile yetinmek, idare etmek",1055,PHRASAL VERBS,
60,make up,"oluşturmak, teşkil etmek (sayısal veri) / uydurmak (bahane, hikâye)",1055,PHRASAL VERBS,
61,make up for,"telafi etmek, kapatmak (açığı, eksiği)",1055,PHRASAL VERBS,
62,make up with,"arayı düzeltmek, barışmak",1055,PHRASAL VERBS,
63,make out,"anlamak, çözmek",1055,PHRASAL VERBS,
64,name after,"adını vermek, ismini koymak",1055,PHRASAL VERBS,
65,pass away,"ölmek, can vermek",1055,PHRASAL VERBS,
66,pass out,"bayılmak, kendinden geçmek",1055,PHRASAL VERBS,
67,pave the way for,"zemin hazırlamak, yol açmak",1055,PHRASAL VERBS,
68,pick up,"birini almak (arabayla) /  toplamak, almak",1055,PHRASAL VERBS,
69,pull through,"iyileşmek, atlatmak",1055,PHRASAL VERBS,
70,put aside,"kenara koymak, biriktirmek",1055,PHRASAL VERBS,
71,put forward,"ileri sürmek, ortaya atmak",1055,PHRASAL VERBS,
72,put off,"ertelemek, geciktirmek",1055,PHRASAL VERBS,
73,put on,"giymek, takmak (kıyafet, aksesuar)  / almak (kilo)",1055,PHRASAL VERBS,
74,put out,"söndürmek (yangın, ateş)",1055,PHRASAL VERBS,
75,put up with,"katlanmak, dayanmak, tahammül etmek",1055,PHRASAL VERBS,
76,"rely on,&rely upon","güvenmek, bel bağlamak, ...-e bağlı olmak",1055,PHRASAL VERBS,
77,"rest on,&rest upon","...-e bağlı olmak, dayanmak",1055,PHRASAL VERBS,
78,root out,"kökünü kurutmak, yok etmek",1055,PHRASAL VERBS,
79,"run into,&run across","karşılaşmak, rast gelmek",1055,PHRASAL VERBS,
80,run on,çalışmak (bir güç ya da enerji ile),1055,PHRASAL VERBS,
81,run out of,"bitmek, tükenmek (para, zaman, güç)",1055,PHRASAL VERBS,
82,"send off,&send out","yaymak, salmak (gaz, enerji)",1055,PHRASAL VERBS,
83,"set on,&set out,&set about","bir işe girişmek, başlamak",1055,PHRASAL VERBS,
84,set up,"kurmak, başlamak",1055,PHRASAL VERBS,
85,sort out,"sınıflandırmak, gruplandırmak / çözümlemek",1055,PHRASAL VERBS,
86,stand against,"karşısında durmak (fikir, görüş)",1055,PHRASAL VERBS,
87,stand for,"savunmak, desteklemek (fikir, görüş) / simgelemek",1055,PHRASAL VERBS,
88,stand out,"göze çarpmak, dikkat çekmek",1055,PHRASAL VERBS,
89,step down,"istifa etmek, görevi bırakmak",1055,PHRASAL VERBS,
90,spring up,"kısa zamanda meydana çıkmak, türemek",1055,PHRASAL VERBS,
91,take after,"benzemek, soya çekmek",1055,PHRASAL VERBS,
92,take off,"yükselişe geçmek (uçak, satış, fiyat) / kıyafetini çıkarmak",1055,PHRASAL VERBS,
93,take over,"üstüne almak, üstlenmek (görev) / ele geçirmek (yönetim, kontrol)",1055,PHRASAL VERBS,
94,take up,"kaplamak, işgal etmek (yer, zaman) / meşgul olmak (iş, hobi, aktivite)",1055,PHRASAL VERBS,
95,take to,"...-e dökülmek (sokak, cadde)",1055,PHRASAL VERBS,
96,turn down,"geri çevirmek, reddetmek / sesini kısmak",1055,PHRASAL VERBS,
97,turn over,"teslim etmek (göçmen, kaçak) / ciro yapmak",1055,PHRASAL VERBS,
98,throw up,kusmak / hızlıca inşa etmek,1055,PHRASAL VERBS,
99,use up,"tüketmek, bitirmek",1055,PHRASAL VERBS,
100,wear out,"yıpratmak, eskitmek, aşındırmak",1055,PHRASAL VERBS,
101,wipe out,"yok etmek, silip süpürmek",1055,PHRASAL VERBS,
102,work out,"anlamak, çözmek, kavramak / gelişmek (olaylar)",1055,PHRASAL VERBS,
103,absorb in,"emmek, içine çekmek",1056,VERB + PREP,
104,be engaged in,bir işle meşgul olmak,1056,VERB + PREP,
105,be involved in,"dahil olmak, kapsamına girmek",1056,VERB + PREP,
106,believe in,inanmak,1056,VERB + PREP,
107,interfere in,"müdahale etmek, karışmak",1056,VERB + PREP,
108,invest in,yatırım yapmak,1056,VERB + PREP,
109,participate in,katılım sağlamak,1056,VERB + PREP,
110,persist in,"sürmek, devam etmek, ısrar etmek",1056,VERB + PREP,
111,specialize in,bir alanda uzmanlaşmak,1056,VERB + PREP,
112,succeed in,"başarmak, başarılı olmak",1056,VERB + PREP,
113,take part in,katılım sağlamak,1056,VERB + PREP,
114,agree on,üzerinde uzlaşmak,1056,VERB + PREP,
115,argue on,üzerinde tartışmak,1056,VERB + PREP,
116,comment on,üzerine yorum yapmak,1056,VERB + PREP,
117,concentrate on,odaklanmak,1056,VERB + PREP,
118,congratulate on,tebrik etmek,1056,VERB + PREP,
119,decide on,karar vermek,1056,VERB + PREP,
120,"depend on,&depend upon","güvenmek, bağlı olmak",1056,VERB + PREP,
121,focus on,odaklanmak,1056,VERB + PREP,
122,insist on,ısrarcı olmak,1056,VERB + PREP,
123,"rely on,&rely upon","güvenmek, bel bağlamak",1056,VERB + PREP,
124,spend on,harcamak,1056,VERB + PREP,
125,waste on,boşa harcamak,1056,VERB + PREP,
126,work on,üzerine çalışma yapmak,1056,VERB + PREP,
127,aim at,"hedeflemek, amaçlamak",1056,VERB + PREP,
128,bark at,havlamak,1056,VERB + PREP,
129,laugh at,…-e gülmek,1056,VERB + PREP,
130,look at,…-e bakmak,1056,VERB + PREP,
131,smile at,…-e gülmek,1056,VERB + PREP,
132,stare at,…-e gözlerini dikerek bakmak,1056,VERB + PREP,
133,accuse smb of smt,(birini bir şey ile) suçlamak,1056,VERB + PREP,
134,approve of,onaylamak,1056,VERB + PREP,
135,be composed of,"...-den oluşmak, içermek",1056,VERB + PREP,
136,be made of,...-den yapılmış,1056,VERB + PREP,
137,be of,…-e sahip,1056,VERB + PREP,
138,consist of,"...-den oluşmak, içermek",1056,VERB + PREP,
139,dream of,hayal etmek,1056,VERB + PREP,
140,hear of,"duymak, işitmek",1056,VERB + PREP,
141,make use of,"yararlanmak, faydalanmak",1056,VERB + PREP,
142,take advantage of,"yararlanmak, faydalanmak",1056,VERB + PREP,
143,agree over smt,(bir şey) üzerinde uzlaşmak,1056,VERB + PREP,
144,argue over smt,(bir şey) üzerinde tartışmak,1056,VERB + PREP,
145,be over,"bitmek, sona ermek",1056,VERB + PREP,
146,check over,"incelemek, denetlemek",1056,VERB + PREP,
147,spread over,yay(ıl)mak,1056,VERB + PREP,
148,choose between,seçim yapmak,1056,VERB + PREP,
149,distinguish between,ayırt etmek,1056,VERB + PREP,
150,apologize for smt,(bir şey için) özür dilemek,1056,VERB + PREP,
151,apply for,başvurmak,1056,VERB + PREP,
152,arrest smb for smt,(birini bir şey için) tutuklamak,1056,VERB + PREP,
153,ask for,"istemek, talep etmek",1056,VERB + PREP,
154,beg for,yalvarmak,1056,VERB + PREP,
155,blame smb for smt,(birini bir şey ile) suçlamak,1056,VERB + PREP,
156,care for,"umursamak, ilgilenmek",1056,VERB + PREP,
157,fight for smt,(bir şey için) savaşmak,1056,VERB + PREP,
158,long for,özlemek,1056,VERB + PREP,
159,look for,aramak,1056,VERB + PREP,
160,mistake for,"karıştırmak, zannetmek",1056,VERB + PREP,
161,pay for,ödeme yapmak,1056,VERB + PREP,
162,pray for,dua etmek,1056,VERB + PREP,
163,provide smt for smb,(birisi için bir şey)  sağlamak,1056,VERB + PREP,
164,remember for,(birini bir şey ile) hatırlamak,1056,VERB + PREP,
165,search for,aramak,1056,VERB + PREP,
166,substitute for,"yerine geçmek, yerini almak",1056,VERB + PREP,
167,vote for,lehine oy kullanmak,1056,VERB + PREP,
168,wait for,"beklemek, yolunu gözlemek",1056,VERB + PREP,
169,yearn for,"can atmak, çok istemek",1056,VERB + PREP,
170,boast about,"övünmek, böbürlenmek",1056,VERB + PREP,
171,complain about,şikayet etmek,1056,VERB + PREP,
172,dream about,hayal etmek,1056,VERB + PREP,
173,forget about,unutmak,1056,VERB + PREP,
174,hear about,"duymak, işitmek",1056,VERB + PREP,
175,talk about,konuşmak,1056,VERB + PREP,
176,think about,düşünmek,1056,VERB + PREP,
177,agree with smb,(birisi ile) hemfikir olmak,1056,VERB + PREP,
178,associate with,ilişkilendirmek,1056,VERB + PREP,
179,be blessed with,ile kutsanmak,1056,VERB + PREP,
180,be involved with,"dahil olmak, ilgilenmek",1056,VERB + PREP,
181,charge smb with smt,(birini bir şey ile) suçlamak,1056,VERB + PREP,
182,coincide with,"ile çakışmak, tesadüf etmek",1056,VERB + PREP,
183,collide with,çarpışmak,1056,VERB + PREP,
184,compare with,kıyaslamak,1056,VERB + PREP,
185,compete with,"rekabet etmek, yarışmak",1056,VERB + PREP,
186,comply with,"uymak, itaat etmek",1056,VERB + PREP,
187,confront with,"ile yüzleşmek, karşılaşmak",1056,VERB + PREP,
188,cope with,"ile uğraşmak, başa çıkmak",1056,VERB + PREP,
189,deal with,ile ilgilenmek; başa çıkmak,1056,VERB + PREP,
190,face with,"ile yüzleşmek, karşılaşmak",1056,VERB + PREP,
191,help with,… konusunda yardımcı olmak,1056,VERB + PREP,
192,interfere with,"müdahale etmek, karışmak",1056,VERB + PREP,
193,provide smb with smt,(birine bir şey) sağlamak,1056,VERB + PREP,
194,quarrel with smb,(birisi ile) tartışmak,1056,VERB + PREP,
195,abide by,"uymak, itaat etmek",1056,VERB + PREP,
196,develop out of,"...-den oluşmak, içermek",1056,VERB + PREP,
197,adapt to,"ayak uydurmak, uyum sağlamak",1056,VERB + PREP,
198,add to,eklemek,1056,VERB + PREP,
199,adhere to,"yapışmak, bağlı olmak",1056,VERB + PREP,
200,adjust to,"ayak uydurmak, uyum sağlamak",1056,VERB + PREP,
201,apologize to smb,(birinden) özür dilemek,1056,VERB + PREP,
202,appeal to,"çekici gelmek, cezbetmek",1056,VERB + PREP,
203,attribute to,"...-e bağlamak, atfetmek, yormak",1056,VERB + PREP,
204,be exposed to,...-e maruz kalmak,1056,VERB + PREP,
205,belong to,...-e ait olmak,1056,VERB + PREP,
206,confess to,itiraf etmek,1056,VERB + PREP,
207,conform to,"uymak, itaat etmek",1056,VERB + PREP,
208,consent to,...-e razı olmak,1056,VERB + PREP,
209,contribute to,"katkıda bulunmak, sebep olmak",1056,VERB + PREP,
210,dedicate to,adamak,1056,VERB + PREP,
211,devote to,adamak,1056,VERB + PREP,
212,give rise to,"neden olmak, -e yol açmak",1056,VERB + PREP,
213,lead to,"neden olmak, -e yol açmak",1056,VERB + PREP,
214,object to,"karşı çıkmak, itiraz etmek",1056,VERB + PREP,
215,react to,"tepki vermek, yanıt vermek",1056,VERB + PREP,
216,refer to,gönderme yapmak,1056,VERB + PREP,
217,resort to,...-e başvurmak,1056,VERB + PREP,
218,respond to,"yanıt vermek, cevap vermek",1056,VERB + PREP,
219,stick to,"uymak, itaat etmek",1056,VERB + PREP,
220,be subjected to,…-e maruz kalmak,1056,VERB + PREP,
221,tend to,eğiliminde olmak,1056,VERB + PREP,
222,abstain from,...-den kaçınmak,1056,VERB + PREP,
223,arise from,...-den kaynaklanmak,1056,VERB + PREP,
224,be made from,...-den yapılmak,1056,VERB + PREP,
225,benefit from,"...-den faydalanmak, yararlanmak",1056,VERB + PREP,
226,derive from,...-den türemek,1056,VERB + PREP,
227,deter from,"caymak, vazgeçmek",1056,VERB + PREP,
228,differ from,...-den farklılık göstermek,1056,VERB + PREP,
229,distinguish from,"ayırmak, ayırt etmek",1056,VERB + PREP,
230,emerge from,...-den kaynaklanmak,1056,VERB + PREP,
231,expel from,"kovmak, atmak, ihraç etmek",1056,VERB + PREP,
232,infer from,"çıkarım yapmak, sonuç çıkarmak",1056,VERB + PREP,
233,originate from,"...-den türemek, -den gelmek",1056,VERB + PREP,
234,prevent from,"engellemek, önlemek",1056,VERB + PREP,
235,prohibit from,yasaklamak,1056,VERB + PREP,
236,recover from,"iyileşmek, kurtulmak",1056,VERB + PREP,
237,refrain from,...-den kaçınmak,1056,VERB + PREP,
238,resign from,görevinden istifa etmek,1056,VERB + PREP,
239,result from,...-den kaynaklanmak,1056,VERB + PREP,
240,stem from,"...-den doğmak, ortaya çıkmak",1056,VERB + PREP,
241,suffer from,"...-den mustarip olmak, acı çekmek",1056,VERB + PREP,
242,change smt into smt,(bir şeyi bir şeye) dönüştürmek,1056,VERB + PREP,
243,classify into,"sınıflandırmak, ayırmak",1056,VERB + PREP,
244,convert smt into smt,(bir şeyi bir şeye) dönüştürmek,1056,VERB + PREP,
245,divide into,"ayırmak, bölmek",1056,VERB + PREP,
246,penetrate into,…-e nüfuz etmek,1056,VERB + PREP,
247,transform smt into smt,(bir şeyi bir şeye) dönüştürmek,1056,VERB + PREP,
248,turn smt into smt,(bir şeyi bir şeye) dönüştürmek,1056,VERB + PREP,
249,discriminate against,ayrımcılık yapmak,1056,VERB + PREP,
250,insure against,…-e karşı sigorta yapmak,1056,VERB + PREP,
251,react to/against,…-e tepki vermek,1056,VERB + PREP,
252,rebel against,…-e isyan etmek,1056,VERB + PREP,
253,struggle against,…-e karşı mücadele etmek,1056,VERB + PREP,
254,struggle for,… için mücadele etmek,1056,VERB + PREP,
255,vote against,aleyhine oy vermek,1056,VERB + PREP,
256,warn against,…-e karşı uyarmak,1056,VERB + PREP,
257,deficient in,"… bakımından eksik, yetersiz",1057,ADJ + PREP,
258,experienced in,"...-de tecrübeli, deneyimli",1057,ADJ + PREP,
259,interested in,"ile ilgili, alakadar",1057,ADJ + PREP,
260,rich in,… bakımından zengin,1057,ADJ + PREP,
261,afraid of,...-den korkan,1057,ADJ + PREP,
262,ashamed of,...-den utanmış,1057,ADJ + PREP,
263,aware of,...-nın farkında,1057,ADJ + PREP,
264,bored of,...-den sıkılmış,1057,ADJ + PREP,
265,capable of,...-i yapabilir,1057,ADJ + PREP,
266,conscious of,"...-nın bilincinde, farkında",1057,ADJ + PREP,
267,devoid of,"...-den yoksun, mahrum",1057,ADJ + PREP,
268,envious of,"...-i kıskanan, kıskanç",1057,ADJ + PREP,
269,fond of,...-e düşkün,1057,ADJ + PREP,
270,frightened of,"...-den korkan, korkak",1057,ADJ + PREP,
271,full of,ile dolu,1057,ADJ + PREP,
272,guilty of,...-den suçlu,1057,ADJ + PREP,
273,ignorant of,"...-den habersiz, bihaber",1057,ADJ + PREP,
274,proud of,...dan gururlu,1057,ADJ + PREP,
275,scared of,"...-den korkan, korkak",1057,ADJ + PREP,
276,short of,...-den yoksun,1057,ADJ + PREP,
277,suspicious of,...-den şüpheli,1057,ADJ + PREP,
278,tired of,...-den bıkmak,1057,ADJ + PREP,
279,unaware of,"...-den habersiz, bihaber",1057,ADJ + PREP,
280,unconscious of,"...-den habersiz, bilinçsiz",1057,ADJ + PREP,
281,different from,...-den farklı,1057,ADJ + PREP,
282,distinct from,...-den ayrı,1057,ADJ + PREP,
283,separate from,...-den ayrı,1057,ADJ + PREP,
284,tired from,"...-den yorulmuş, yorgun",1057,ADJ + PREP,
285,angry about smt,… hakkında kızgın,1057,ADJ + PREP,
286,anxious about,"… hakkında endişeli, kaygılı",1057,ADJ + PREP,
287,concerned about,"… hakkında endişeli, kaygılı",1057,ADJ + PREP,
288,curious about,… hakkında meraklı,1057,ADJ + PREP,
289,enthusiastic about,"… hakkında istekli, hevesli",1057,ADJ + PREP,
290,excited about,… hakkında heyecanlı,1057,ADJ + PREP,
291,optimistic about,… hakkında iyimser,1057,ADJ + PREP,
292,pessimistic about,"… hakkında karamsar, kötümser",1057,ADJ + PREP,
293,worried about,"… hakkında endişeli, kaygılı",1057,ADJ + PREP,
294,dependent on,"...-e bağımlı, bağlı",1057,ADJ + PREP,
295,keen on,"...-e düşkün, meraklı, istekli",1057,ADJ + PREP,
296,accountable for,"...-den sorumlu, mesul",1057,ADJ + PREP,
297,appropriate for,... için uygun,1057,ADJ + PREP,
298,available for,"… için hazır, mevcut",1057,ADJ + PREP,
299,eager for,"… için istekli, hevesli",1057,ADJ + PREP,
300,eligible for,"...-e uygun, seçilebilir",1057,ADJ + PREP,
301,essential for,"… için gerekli, esas, temel",1057,ADJ + PREP,
302,famous for,"ile ünlü, bilinen",1057,ADJ + PREP,
303,grateful for smt,(bir şey) için minnettar,1057,ADJ + PREP,
304,known for,"ile ünlü, bilinen",1057,ADJ + PREP,
305,liable for,...-den sorumlu,1057,ADJ + PREP,
306,necessary for,… için gerekli,1057,ADJ + PREP,
307,notorious for,"...-den adı çıkmış, kötü ünlenmiş",1057,ADJ + PREP,
308,ready for,… için hazır,1057,ADJ + PREP,
309,responsible for,...-den sorumlu,1057,ADJ + PREP,
310,suitable for,… için uygun,1057,ADJ + PREP,
311,acquainted with,"...-e aşina, tanıdık",1057,ADJ + PREP,
312,angry with smb,"(birine) kızgın, sinirli",1057,ADJ + PREP,
313,annoyed with smb,"(birine) kızgın, sinirli",1057,ADJ + PREP,
314,associated with,ile ilgili,1057,ADJ + PREP,
315,busy with,ile meşgul,1057,ADJ + PREP,
316,careful with,dikkatli,1057,ADJ + PREP,
317,compatible with,ile uyumlu,1057,ADJ + PREP,
318,concerned with,ile ilgili,1057,ADJ + PREP,
319,confronted with,"ile yüzleşmiş, karşı karşıya",1057,ADJ + PREP,
320,consistent with,ile uyumlu,1057,ADJ + PREP,
321,content with,"...-den memnun, hoşnut",1057,ADJ + PREP,
322,delighted with,"...-den memnun, hoşnut",1057,ADJ + PREP,
323,disappointed with,...-den hayal kırıklığına uğramış,1057,ADJ + PREP,
324,equipped with,ile donatılmış,1057,ADJ + PREP,
325,familiar with smt,(bir şeye) aşina,1057,ADJ + PREP,
326,furnished with,ile donatılmış,1057,ADJ + PREP,
327,obsessed with,"...-e takıntılı, saplantılı",1057,ADJ + PREP,
328,patient with,...-e karşı sabırlı,1057,ADJ + PREP,
329,pleased with,"...-den memnun, hoşnut",1057,ADJ + PREP,
330,satisfied with,"...-den memnun, hoşnut",1057,ADJ + PREP,
331,angry at smt,"(bir şeye) kızgın, sinirli",1057,ADJ + PREP,
332,annoyed at smt,"(bir şeye) kızgın, sinirli",1057,ADJ + PREP,
333,bad at,"...-de kötü, başarısız",1057,ADJ + PREP,
334,delighted at,...-den memnun,1057,ADJ + PREP,
335,good at,"...-de iyi, başarılı",1057,ADJ + PREP,
336,skilful at,...-de becerikli,1057,ADJ + PREP,
337,surprised at,"...-e şaşırmış, şaşkın",1057,ADJ + PREP,
338,accustomed to,...-e alışkın,1057,ADJ + PREP,
339,addicted to,...-e bağımlı,1057,ADJ + PREP,
340,adjacent to,"...-e bitişik, yakın",1057,ADJ + PREP,
341,akin to,...-e benzer,1057,ADJ + PREP,
342,apt to,"...-e eğilimli, meyilli",1057,ADJ + PREP,
343,attached to,...-e bağlı,1057,ADJ + PREP,
344,beneficial to,"...-e faydalı, yararlı",1057,ADJ + PREP,
345,close to,...-e yakın,1057,ADJ + PREP,
346,committed to,...-e kendini adamış,1057,ADJ + PREP,
347,equivalent to,...-e eşit,1057,ADJ + PREP,
348,faithful to,"...-e sadık, vefalı",1057,ADJ + PREP,
349,familiar to smb,(birine) aşina,1057,ADJ + PREP,
350,grateful to smb,(birine) minnettar,1057,ADJ + PREP,
351,hostile to,...-e karşı düşman,1057,ADJ + PREP,
352,identical to,...-e benzer,1057,ADJ + PREP,
353,immune to,...-e bağışıklığı olan,1057,ADJ + PREP,
354,indifferent to,"...-e ilgisiz, kayıtsız",1057,ADJ + PREP,
355,inferior to,...-e göre daha kalitesiz,1057,ADJ + PREP,
356,kind to,"...-e karşı nazik, kibar",1057,ADJ + PREP,
357,liable to,"...-e eğilimli, meyilli",1057,ADJ + PREP,
358,limited to,ile sınırlı,1057,ADJ + PREP,
359,married to,ile evli,1057,ADJ + PREP,
360,obliged to,ile yükümlü,1057,ADJ + PREP,
361,oblivious to,"...-den habersiz, bihaber",1057,ADJ + PREP,
362,prone to,"...-e eğilimli, meyilli",1057,ADJ + PREP,
363,related to,ile ilişkili,1057,ADJ + PREP,
364,relevant to,ile ilgili,1057,ADJ + PREP,
365,responsible to smb,(birine karşı) sorumlu olmak,1057,ADJ + PREP,
366,sensitive to,"...-e karşı korunmasız, hassas",1057,ADJ + PREP,
367,similar to,...-e benzer,1057,ADJ + PREP,
368,superior to,...-e göre daha üstün,1057,ADJ + PREP,
369,susceptible to,"...-e karşı korunmasız, hassas",1057,ADJ + PREP,
370,vulnerable to,"...-e karşı korunmasız, hassas",1057,ADJ + PREP,
371,belief in,...-e inanç,1058,NOUN + PREP,
372,change in,...-de değişiklik,1058,NOUN + PREP,
373,decrease in,"...-de azalma, düşüş",1058,NOUN + PREP,
374,delay in,...-de gecikme,1058,NOUN + PREP,
375,difficulty in,"...-de sıkıntı, zorluk",1058,NOUN + PREP,
376,experience in,"...-de tecrübe, deneyim",1058,NOUN + PREP,
377,expert in,...-de uzman,1058,NOUN + PREP,
378,fall in,"...-de azalma, düşüş",1058,NOUN + PREP,
379,increase in,"...-de artış, yükselme",1058,NOUN + PREP,
380,interest in,...-e ilgi,1058,NOUN + PREP,
381,reduction in,"...-de azalma, düşüş",1058,NOUN + PREP,
382,rise in,"...-de artış, yükselme",1058,NOUN + PREP,
383,advice on,ile ilgili tavsiye,1058,NOUN + PREP,
384,agreement on,"üzerinde anlaşma, uzlaşı",1058,NOUN + PREP,
385,article on,hakkında makale,1058,NOUN + PREP,
386,assault on,...-e saldırı,1058,NOUN + PREP,
387,attack on,...-e saldırı,1058,NOUN + PREP,
388,authority on,"...-de otorite, yetki",1058,NOUN + PREP,
389,ban on,...-e yasaklama,1058,NOUN + PREP,
390,debate on,hakkında tartışma,1058,NOUN + PREP,
391,decision on,hakkında karar,1058,NOUN + PREP,
392,dependence on,"...-e bağımlılık, bağlılık",1058,NOUN + PREP,
393,effect on,üzerinde etki,1058,NOUN + PREP,
394,emphasize on,...-e vurgu,1058,NOUN + PREP,
395,expert on,...-de uzman,1058,NOUN + PREP,
396,impact on,üzerinde etki,1058,NOUN + PREP,
397,influence on,üzerinde etki,1058,NOUN + PREP,
398,information on,üzerine bilgi,1058,NOUN + PREP,
399,interest on,...-e (uygulanan) faiz,1058,NOUN + PREP,
400,opinion on,"üzerine fikir, düşünce",1058,NOUN + PREP,
401,recommendation on,hakkında tavsiye,1058,NOUN + PREP,
402,report on,üzerine haber,1058,NOUN + PREP,
403,research on,hakkında araştırma,1058,NOUN + PREP,
404,restriction on,...-e kısıtlama,1058,NOUN + PREP,
405,stress on,...-e vurgu,1058,NOUN + PREP,
406,tax on,...-e vergi,1058,NOUN + PREP,
407,agreement about,"hakkında anlaşma, uzlaşı",1058,NOUN + PREP,
408,anxiety about,"hakkında endişe, kaygı",1058,NOUN + PREP,
409,debate about,hakkında tartışma,1058,NOUN + PREP,
410,decision about,hakkında karar,1058,NOUN + PREP,
411,doubt about,hakkında şüphe,1058,NOUN + PREP,
412,estimate about,hakkında tahmin,1058,NOUN + PREP,
413,information about,hakkında bilgi,1058,NOUN + PREP,
414,knowledge about,hakkında bilgi,1058,NOUN + PREP,
415,opinion about,"hakkında fikir, düşünce",1058,NOUN + PREP,
416,advantage over,...-e karşı avantaj,1058,NOUN + PREP,
417,authority over,"üzerinde otorite, yetki",1058,NOUN + PREP,
