en,tr,pos,emoji,yuksek_getiri,syn,kaynaklar,cikmis_tekrar,cikmis_donemler,grup,example,exampleTr,tier
"decade","On yıl","n","🔟",1,"A ten year period","Modadil 1080; Çıkmış sorular; Zafer Hoca",3,"2021-1; 2022-2; 2023-2",3,"For decades, nets have been the only method for controlling the mosquitoes.","On yıllardır, ağlar sivrisineklerin kontrolünde tek yöntem olmuştur.",1
"detect","Teşhis etmek, belirlemek, algılamak","v","🕵️",1,"Notice; identify; discover; perceive","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2021-1; 2024-1; 2024-2",3,"Eyes can detect photons, the smallest quantum unit of an electromagnetic wave.","Gözler bir elektromanyetik dalganın en küçük kuantum birimi olan fotonları algılayabilir.",1
"emerge","Ortaya çıkmak","v","🐣",1,"Come out; appear; come into view","Modadil 1080; Çıkmış sorular; Koç havuzu",6,"2018-1; 2021-2; 2022-2; 2023-1; 2024-2; 2025-2",3,"Human-animal interactions enabled new viruses to emerge.","İnsan-hayvan etkileşimleri yeni virüslerin ortaya çıkmasına olanak sağladı.",1
"especially","Özellikle, bilhassa","adv","✨",0,"Notably; particularly","Modadil 1080",0,"",3,"Hurricane Katrina became the moment of awakening, especially for national leaders, to reduce greenhouse gas emissions","Katrina Kasırgası, özellikle ulusal liderler için sera gazı emisyonlarını azaltmaya için uyanış anı oldu.",1
"exceptional","Fevkalade, istisnai, olağanüstü","adj","🌟",1,"Excellent; special; extraordinary","Modadil 1080; Çıkmış sorular; Zafer Hoca",2,"2023-1; 2024-2",3,"Amazon, Google and the rest have exceptional Articial Intelligence resources for sale.","Amazon, Google ve diğerleri satış için olağanüstü Yapay Zeka kaynaklarına sahiptir",1
"fluctuation","Dalgalanma, değişme","n","📶",0,"Change; variation","Modadil 1080; Çıkmış sorular",1,"2023-1",3,"Signal fluctuation happens with every wireless network.","Sinyal dalgalanması her kablosuz ağda meydana gelir.",1
"illustrate","Göstermek, sergilemek, resimlerle açıklamak","v","🖼️",1,"Show; exhibit; explain with pictures","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2022-2; 2024-1; 2025-2",3,"Skeletons in the museum illustrate how humanbeings evolved.","Müzedeki iskeletler insanın nasıl evrimleştiğini gösteriyor.",1
"invent","İcat etmek, keşfetmek","v","💡",1,"Create; discover; devise","Modadil 1080; Çıkmış sorular",2,"2022-1; 2024-2",3,"He invented the lightweight fibre used in bullet-proof vests and body armour.","O, kurşun geçirmez yeleklerde ve vücut zırhlarında kullanılan hafif elyafı icat etti.",1
"investigate","İncelemek, araştırmak","v","🔎",1,"Examine; look into; explore","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2018-1; 2022-1; 2025-2",3,"One of NASA’s main aims in space travel is to investigate ways in which the body adjusts to life in space.","NASA’nın uzay yolculuğundaki başlıca amaçlarından biri, vücudun uzaydaki yaşama alışmasının yollarını araştırmaktır",1
"likelihood","Olabilirlik, ihtimal","n","🎲",0,"Probability; possibility; prospect","Modadil 1080; Çıkmış sorular",1,"2022-1",3,"The likelihood that Proxima b is a transiting planet is very small.","Proxima b'nin geçiş yapan bir gezegen olma ihtimali çok düşüktür.",1
"monitor","İzlemek, gözlemlemek","v","👁️",1,"Watch; observe","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2023-1; 2023-2; 2025-1",3,"Equipment was installed to monitor air quality in the area.","Bölgedeki hava kalitesini izlemek için ekipman kuruldu.",1
"opportunity","Fırsat, şans, olanak","n","🍀",0,"Chance","Modadil 1080",0,"",3,"Electric cars offer a unique opportunity to cut both chemical and noise pollution.","Elektrikli otomobiller hem kimyasal hem de gürültü kirliliğini azaltmak için eşsiz bir fırsat sunuyor.",1
"primitive","İlkel, basit, eski çağa ait","adj","🪨",1,"Simple; uncomplicated; ancient","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2018-1; 2021-1; 2022-2",3,"Biologists value marine organisms because their primitive systems are good models for more complex organisms.","İlkel sistemleri daha karmaşık organizmalar için iyi modeller olduğundan biyologlar, deniz organizmalarına kıymet verirler",1
"product","Ürün, sonuç","n","🏷️",1,"Result; outcome; item","Modadil 1080; Çıkmış sorular",2,"2021-2; 2024-1",3,"Volcanic activity in central Anatolia is a product of the region's position.","Orta Anadolu'da volkanik faaliyet, bölgenin konumunun bir ürünüdür.",1
"purpose","Amaç, gaye","n","🎯",1,"Aim; target; goal; objective","Modadil 1080; Çıkmış sorular; Koç havuzu",5,"2021-1; 2021-2; 2022-1; 2023-2; 2025-1",3,"One of the most important purposes of environmental protection is the prevention of negative impacts on public health.","Çevrenin korunmasının en önemli amaçlarından biri, halk sağlığı üzerindeki olumsuz etkilerin önlenmesidir.",1
"reason","Neden, sebep","n","❓",0,"Cause; basis","Modadil 1080",0,"",3,"Part of the reason that gemstones reach high values is their rarity.","Değerli taşların yüksek değerlere ulaşmasının bir nedeni nadir olmalarıdır.",1
"regulation","Kural, kaide, düzenleme","n","📜",0,"Rule; directive; guideline","Modadil 1080; Çıkmış sorular",1,"2023-1",3,"Some marine scientists believe fishing regulations are based on biased or inaccurate scientific data.","Bazı deniz bilimciler, balıkçılık düzenlemelerinin önyargılı veya yanlış bilimsel verilere dayandığına inanmaktadır.",1
"scarce","Kısıtlı, yetersiz, kıt","adj","🏜️",1,"Limited; inadequate; insufficient","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2023-1; 2024-2",3,"Food, clean water, and compulsory vaccines are becoming scarce in Africa.","Afrika'da gıda, temiz su ve zorunlu aşılar kıtlaşıyor.",1
"significantly","Önemli ölçüde","adv","‼️",1,"Substantially; considerably","Modadil 1080; Çıkmış sorular; Koç havuzu",4,"2021-1; 2021-2; 2022-2; 2025-1",3,"The demand for energy sources that are lightweight and powerful has significantly increased in recent years.","Hafif ve güçlü enerji kaynakları talebi son yıllarda önemli ölçüde artmıştır.",1
"survey","Araştırma, inceleme, anket","n","📋",0,"Araştırma; inceleme; anket","Modadil 1080; Çıkmış sorular; Zafer Hoca",1,"2018-1",3,"They recently completed the largest astronomical survey of the sky.","Son zamanlarda gökyüzünün en büyük astronomik araştırmasını tamamladılar.",1
"compound","Alaşım, bileşik","n","⚗️",0,"Mixture","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2024-2",4,"A compound is a substance containing two or more elements in a fixed ratio.","Bir bileşik, sabit bir oranda iki veya daha fazla element içeren bir maddedir.",1
"demonstrate","Göstermek, ispatlamak","v","🙌",0,"Display; show; prove","Modadil 1080; Zafer Hoca; Koç havuzu",0,"",4,"Manufacturers must demonstrate that their aircraft are capable of flying safely in cold and wet conditions.","İmalatçılar, uçaklarının soğuk ve ıslak koşullarda güvenli bir şekilde uçabileceğini göstermelidir.",1
"discovery","Buluş, keşif","n","🔦",0,"Detection; finding; unearthing","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2025-2",4,"One of the great advances of astronomy over the past decade has been the discovery of planets outside our solar system.","Son on yılda gökbiliminin büyük ilerlemelerinden biri, güneş sistemimizin dışındaki gezegenlerin keşfedir.",1
"diverse","Çeşitli, farklı","adj","🌈",1,"Various; different","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2024-1",4,"Research in the field of biology in recent years has yielded amazing knowledge about the human species and about thousands of other diverse life forms.","Son yıllarda biyoloji alanındaki araştırmalar, insan türüne ve diğer binlerce farklı yaşam biçimine ilişkin şaşırtıcı bilgiler ortaya koymuştur",1
"drift","Sürüklenme, kayma","n","🌊",1,"Float; flow; glide","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-1; 2024-1",4,"The theory of continental drift might have been accepted decades earlier.","Kıtasal kayma teorisi on yıllar önce kabul edilmiş olabilir.",1
"eliminate","Bertaraf etmek, ortadan kaldırmak, kurtulmak","v","❌",1,"Get rid of; remove; eradicate","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2022-1",4,"Most governments have taken some precautions to eliminate environmental pollution.","Çoğu hükümet, çevre kirliliğini ortadan kaldırmak için bazı önlemler almıştır.",1
"familiar","Aşina, tanıdık","adj","🤝",0,"Recognizable; acquainted","Modadil 1080",0,"",4,"Probably every literate person is familiar with the famous relativity equation: E=mc2.","Muhtemelen her okuryazar kişi ünlü izefiyet denklemine aşinadır: E = mc2.",1
"grow","Büyümek, yetişmek, gelişmek","v","🌿",0,"Produce; develop","Modadil 1080",0,"",4,"Genetic engineers are determined to grow crops in a shorter period of time.","Genetik mühendisleri, daha kısa sürede ürün yetiştirmeye kararlılar",1
"harsh","Sert, ağır, kaba","adj","🥶",1,"Severe; bleak; austere","Modadil 1080; Çıkmış sorular",2,"2022-1; 2023-2",4,"The 1997 Kyoto Protocol contains a set of extremely harsh sanctions on gas emissions","1997 Kyoto Protokolü, gaz emisyonlarıyla ilgili son derece sert bir dizi yaptırımlar içeriyor.",1
"inadequate","Yetersiz, noksan, eksik","adj","🕳️",0,"Insufficient; scarce","Modadil 1080; Koç havuzu",0,"",4,"In underground mines, inadequate ventilation ise the greatest hazard.","Yeraltı madenlerinde yetersiz havalandırma en büyük tehlikedir.",1
"increase","Artırmak, yükseltmek","v","⬆️",1,"Boost; amplify; enhance","Modadil 1080; Çıkmış sorular; Koç havuzu",2,"2022-1; 2024-1",4,"Moon and Mars missions increased scientific knowledge about extraterrestrial bodies.","Ay ve Mars görevleri, dünya dışı cisimler hakkındaki bilimsel bilgiyi arttırdı.",1
"intensify","Yoğunlaştırmak, artırmak, güçlendirmek","v","🔥",1,"Strengthen; escalate; step up; boost","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2021-2",4,"Competition in the electric vehicle market is intensifying.","Elektrikli araç pazarındaki rekabet artıyor",1
"link","İlişki, bağ","n","🔗",0,"Connection; relation; association; bond","Modadil 1080; Zafer Hoca",0,"",4,"Superfluid helium has profound mathematical links with the cosmos.","Süper akışkan helyum kozmos ile derin matematiksel bağlantılara sahiptir.",1
"observation","Gözlem, izleme","n","👀",1,"Scrutiny; watching; inspection","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",3,"2023-1; 2024-1; 2025-2",4,"An astronomer must record celestial motions through careful observation.","Bir gökbilimci dikkatli gözlem ile göksel hareketleri kaydetmelidir.",1
"outcome","Netice, sonuç","n","🎬",0,"Consequence; result","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2024-2",4,"A significant outcome of air pollution is the high cost of cleanup and prevention.","Hava kirliliğinin önemli bir sonucu temizleme ve önleme maliyetinin yüksek olmasıdır.",1
"particularly","Özellikle, bilhassa","adv","🔸",1,"Especially; notably","Modadil 1080; Çıkmış sorular",1,"2021-2",4,"The pasteurization process is still used today, particularly for milk.","Pastörizasyon işlemi, bugün özellikle süt için kullanılmaktadır.",1
"pesticide","Böcek ilacı","n","🐛",1,"Insecticide","Modadil 1080; Çıkmış sorular; Zafer Hoca",2,"2018-1; 2021-1",4,"The pesticides that farmers use can also damage people's health.","Çiftçilerin kullandığı böcek ilaçları insanların sağlığına da zarar verebilir.",1
"prevention","Koruma, önleme, engelleme","n","🛡️",0,"Deterrence; inhibition; hindrance","Modadil 1080",0,"",4,"They have developed efficient technologies for the prevention of environmental pollution","Çevre kirliliğinin önlenmesi için etkin teknolojiler geliştirdiler",1
"reliability","Güvenilirlik, tutarlılık","n","🎖️",0,"Dependability; consistency","Modadil 1080",0,"",4,"Some experts question the reliability of genetically modified food.","Bazı uzmanlar genetiği değiştirilmiş gıdaların güvenilirliğini sorguluyor.",1
"sample","Numune, örnek","n","🧪",0,"Example; tester; model","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",1,"2023-1",4,"Duke University researchers analyzed each sample collected from 98 locations across North and South America for genetic variation.","Duke Üniversitesi araştırmacıları, genetik varyasyon için Kuzey ve Güney Amerika'daki 98 lokasyondan toplanan her bir numuneyi analiz etti.",1
"affect","Etkilemek, tesir etmek","v","💫",1,"Influence; impact","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2023-1",5,"The change in temperature distribution in the Arctic would also affect ocean currents.","Arktik sıcaklık dağılımındaki değişim, okyanus akıntılarını da etkiler.",1
"combine","Birleş(tir)mek, bir araya gelmek","v","➕",1,"Unite; join; merge","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",2,"2018-1; 2024-2",5,"The rise of sea levels, when combined with more intense storms in the future, would be a deadly combination.","Gelecekte daha şiddetli fırtınalarla birleştiğinde deniz seviyesinin yükselmesi ölümcül bir kombinasyon olacaktır.",1
"contain","İçermek, ihtiva etmek","v","🫙",1,"Hold; have; include","Modadil 1080; Çıkmış sorular; Koç havuzu",4,"2021-1; 2021-2; 2022-2; 2023-2",5,"The ashes of the burnt organic matter contain many minerals.","Yanmış organik maddenin külleri birçok mineral içerir.",1
"currently","Şuan, mevcut durumda","adv","⏱️",1,"At present; now; at this time; presently","Modadil 1080; Çıkmış sorular",4,"2021-1; 2021-2; 2022-2; 2023-2",5,"Biofuels are currently produced from crops such as corn and sugar cane.","Biyoyakıtlar şu anda mısır ve şeker kamışı gibi ürünlerden üretilmektedir",1
"desert","Çöl","n","🏜️",1,"Wasteland; barren region","Modadil 1080; Çıkmış sorular",4,"2021-1; 2021-2; 2022-2; 2024-1",5,"Many countries now suffer from the expansion of deserts.","Pekçok ülke şimdilerde çöllerin genişlemesinden muzdariptir.",1
"determine","Saptamak, belirlemek","v","📐",1,"Find out; verify; ascertain; uncover","Modadil 1080; Çıkmış sorular; Koç havuzu",8,"2018-1; 2021-2; 2022-1; 2022-2; 2023-2; 2024-1; 2024-2; 2025-1",5,"The origin of the Himalayas is difficult to determine due to changes in the composition of its rocks","Kayaların bileşimindeki değişiklikler nedeniyle Himalayaların kökenini belirlemek zordur.",1
"evaluate","Kıymetlendirmek, değerlendirmek","v","📝",1,"Assess; appraise","Modadil 1080; Çıkmış sorular; Koç havuzu",1,"2025-1",5,"Every computer user should evaluate his or her situation in regard to upgrades","Her bilgisayar kullanıcısı, güncellemelerle ilgili durumunu değerlendirmelidir.",1
"fume","Duman, gaz","n","💨",0,"Emission; smoke; gas","Modadil 1080; Zafer Hoca",0,"",5,"The lead from exhaust fumes is released into the atmosphere.","Egzoz gazı kaynaklı kurşun atmosfere salınır.",1
"gather","Toplanmak, bir araya gelmek","v","🧺",1,"Get together; assemble","Modadil 1080; Çıkmış sorular",1,"2022-1",5,"Sharks gather at marine mammal habitats in California during autumn","Köpekbalıkları, sonbaharda  Kaliforniyadaki deniz memelileri yaşam alanlarında bir araya gelirler.",1
"heighten","Artırmak, yükseltmek","v","🔼",0,"Intensify; amplify; increase; enhance","Modadil 1080",0,"",5,"Dwindling oil reserves and concerns about exhaust emissions have heightened the search for more sustainable sources","Azalan petrol rezervleri ve egzoz emisyonlarıyla ilgili endişeler, daha sürdürülebilir kaynak arayışını artırmıştır.",1
"improve","Saptamak, belirlemek, bulmak","v","🔝",1,"Get better; enhance; advance","Modadil 1080; Çıkmış sorular; Koç havuzu",3,"2024-1; 2024-2; 2025-2",5,"More research and development initiatives are required to improve a design","Bir tasarımı iyileştirmek için daha fazla araştırma ve geliştirme girişimi gerekmektedir",1
"layer","Tabaka, katman","n","🥞",1,"Sheet; cover","Modadil 1080; Çıkmış sorular; Zafer Hoca; Koç havuzu",3,"2021-2; 2022-1; 2022-2",5,"The atmosphere is an invisible layer of gases that envelops the Earth.","Atmosfer, Dünyayı saran görünmez bir gaz katmanıdır",1
"menace","Tehdit, korku","n","😈",0,"Threat; danger; hazard; peril","Modadil 1080",0,"",5,"Fungi are a microscopic menace to global health and food security.","Mantarlar, küresel sağlık ve gıda güvenliği için mikroskopik bir tehdit oluşturmaktadır.",1
"mild","Ilıman, hafif, yumuşak","adj","🌤️",0,"Slight; minor; unimportant","Modadil 1080",0,"",5,"H7N9 causes severe disease in people but only mild in poultry.","H7N9 insanlarda ağır hastalığa neden olur, ancak tavuklarda hafiftir.",1
