ID,WordName,VocabularyItem,TurkishDefinition,Synonym,ExampleSentence1,Translation1,GrupNo,Antonym,PartofSpeech,Favorite
17,USEFUL (adj),USEFUL (adj),"Faydalı, yararlı","Beneficial, helpful, practical",Underwater turbines are particularly useful because they are unaffected by storms.,Sualtı türbinleri fırtınalardan etkilenmediğinden bilhassa yararlıdır.,1,-,-,0
18,VAGUE (adj),VAGUE (adj),"Belirsiz, net değil, muğlak","Unclear, indefinite, ambiguous",The future of China’s space program is vague because of high costs,Çin'in uzay programının geleceği yüksek maliyetlerden ötürü belirsiz.,1,-,-,0
19,VANISH (v),VANISH (v),"Yok olmak, kaybolmak","Die out, disappear","Due to logging and cultivation, forests are vanishing all over the world.",Ağaç kesme ve ekim nedeniyle ormanlar tüm dünyada yok oluyor.,1,-,-,0
20,WILDERNESS (n),WILDERNESS (n),"Yaban hayat, vahşi yaşam",Uninhabited area left in its natural condition,Noise pollution doubled sound levels in 12% of all wilderness areas.,"Gürültü kirliliği, tüm vahşi yaşam alanlarının %12'sinde ses seviyesini ikiye katladı.",1,-,-,0
21,ACCESSIBLE (adj),ACCESSIBLE (adj),"Ulaşılabilir, erişilebilir","Available, reachable, handy",Very few points of space are accessible for human beings.,Uzayın çok az noktası insanoğlu için ulaşılabilir durumdadır.,2,-,-,0
22,AGRICULTURE (n),AGRICULTURE (n),"Tarım, ziraat","Farming, cultivation",Volcanic eruptions are a significant threat to people and agriculture.,Volkanik patlamalar insanlar ve tarım için önemli bir tehdittir.,2,-,-,0
23,ANNUAL (adj),ANNUAL (adj),Yıllık,Yearly,Annual population growth in the world has the effect of raising the amount of carbon emissions.,Dünyadaki yıllık nüfus artışı karbon emisyonu miktarını artırma etkisine sahiptir.,2,-,-,0
24,APPROXIMATELY (adv),APPROXIMATELY (adv),"Takriben, yaklaşık","Around, about, roughly",Approximately 200 thousand people were evacuated because of Chernobyl disaster.,Çernobil felâketi sebebiyle yaklaşık 200 bin kişi tahliye edildi.,2,-,-,0
25,DISCARD (v),DISCARD (v),"Atmak, gözden çıkarmak, kurtulmak","Throw away, dispose of, get rid of",The failed scientists and scientific ideas are discarded.,Başarısız bilim insanları ve bilimsel fikirler gözden çıkarılır.,2,-,-,0
26,DISEASE (n),DISEASE (n),Hastalık,"Sickness, ailment, illness",Scientists have been able to identify which parts of the brain are most vulnerable to disease.,Bilim adamları beynin hangi kısımlarının hastalığa karşı en savunmasız olduğunu tanımlayabildiler.,2,-,-,0
27,GAIN (v),GAIN (v),"Kazanmak, elde etmek","Get, achieve, acquire, obtain",Scientists have gained a new understanding of how everyday events are formed in the brain.,"Bilim insanları, günlük olayların beyinde nasıl şekillendiği konusunda yeni bir anlayış kazanmışlardır.",2,-,-,0
28,INITIALLY (adv),INITIALLY (adv),"Başlangıçta, ilk başlarda","At first, originally, to begin with",The moon’s craters were initially formed by asteroids crashing into it.,Ay’ın kraterleri ilk başta ona çarpan astiroitler tarafından oluşturuldu.,2,-,-,0
29,KNOWLEDGE (n),KNOWLEDGE (n),"Bilgi, ilim","Information, wisdom, education",Chemists in the past had no knowledge of atomic numbers and atomic weights.,Geçmişteki kimyagerler atom numarası ve atom ağırlıkları hakkında hiçbir bilgiye sahip değildi,2,-,-,0
30,PRECAUTION (n),PRECAUTION (n),"Önlem, tedbir","Measure, protection",The US has started taking technological precautions along its Mexican borders.,"ABD, Meksika sınırları boyunca teknolojik önlemler almaya başlamıştır.",2,-,-,0
31,PRIMARY (adj),PRIMARY (adj),"Başlıca, esas","Main, chief, most important",The Red Crecent's primary concern is to preserve and protect human life.,"Kızılay'ın başlıca ilgi alanı, insan hayatını muhafaza etmek ve korumaktır.",2,-,-,0
32,PRINCIPLE (n),PRINCIPLE (n),"Prensip, ilke, kaide","Rule, theory, notion",Many ideas about the mind are derived from scholastic principles.,Zihin ile ilgili birçok fikir skolastik ilkelerden türetilir.,2,-,-,0
33,PROVE (v),PROVE (v),"Kanıtlamak, ispatlamak","Demonstrate, verify, ascertain",Experts have proved that health depends on psychological condition.,Uzmanlar sağlığın psikolojik duruma bağlı olduğunu kanıtladılar,2,-,-,0
34,PURSUE (v),PURSUE (v),"Takip etmek, izlemek, peşinden koşmak","Follow, go after, track",Companies are pursuing hundreds of experimental treatments involving gene therapy products.,"Şirketler, gen terapi ürünleri içeren yüzlerce deneysel tedavinin peşinden koşuyorlar.",2,-,-,0
35,REASONABLE (adj),REASONABLE (adj),"Makul, akıllıca","Sensible, rational",He thinks that yoga may be a reasonable alternative to physical therapy.,"O, yoganın fizik tedaviye makul bir alternatif olabileceğini düşünüyor.",2,-,-,0
36,RECOMMEND (v),RECOMMEND (v),"Tavsiye etmek, önermek","Suggest, advise",Doctors recommend vaccines during childhood because they're an incredibly effective way to prevent dangerous diseases.,"Tehlikeli hastalıkları önlemenin inanılmaz derecede etkili bir yolu olması sebebiyle, doktorlar çocukluk döneminde aşıları önerirler.",2,-,-,0
37,REDUCE (v),REDUCE (v),"Düşürmek, azaltmak","Lower, lessen, diminish",Deforestation may have reduced the number of plants contributing to atmospheric methane.,Ormansızlaşma atmosferik metana katkıda bulunan bitki sayısını azaltmış olabilir.,2,-,-,0
38,REPAIR (v),REPAIR (v),"Tamir etmek, onarmak","Fix, overhaul",NASA is going to send a team to repair the Hubble space telescope in the future.,"NASA, gelecekte Hubble uzay teleskopunu tamir etmek için bir ekip gönderecek.",2,-,-,0
39,STATE (n),STATE (n),"Durum, hal","Condition, situation, shape",Electrical conductivity in the liquid state is generally due to the presence of ions., Sıvı haldeki elektriksel iletkenlik genellikle iyonların varlığına bağlıdır.,2,-,-,0
40,VARY (v),VARY (v),"Farklılık göstermek, değişmek","Change, alter",Currents in the dams vary greatly from season to season.,Barajlardaki akıntılar mevsimden mevsime büyük değişiklik gösterir.,2,-,-,0
41,DECADE (n),DECADE (n),On yıl,A ten year period,"For decades, nets have been the only method for controlling the mosquitoes.","On yıllardır, ağlar sivrisineklerin kontrolünde tek yöntem olmuştur.",3,-,-,0
42,DETECT (v),DETECT (v),"Teşhis etmek, belirlemek, algılamak","Notice, identify, discover, perceive","Eyes can detect photons, the smallest quantum unit of an electromagnetic wave.",Gözler bir elektromanyetik dalganın en küçük kuantum birimi olan fotonları algılayabilir.,3,-,-,0
43,EMERGE (v),EMERGE (v),Ortaya çıkmak,"Come out, appear, come into view",Human-animal interactions enabled new viruses to emerge.,İnsan-hayvan etkileşimleri yeni virüslerin ortaya çıkmasına olanak sağladı.,3,-,-,0
44,ESPECIALLY (adv),ESPECIALLY (adv),"Özellikle, bilhassa","Notably, particularly","Hurricane Katrina became the moment of awakening, especially for national leaders, to reduce greenhouse gas emissions","Katrina Kasırgası, özellikle ulusal liderler için sera gazı emisyonlarını azaltmaya için uyanış anı oldu.",3,-,-,0
45,EXCEPTIONAL (adj),EXCEPTIONAL (adj),"Fevkalade, istisnai, olağanüstü","Excellent, special, extraordinary","Amazon, Google and the rest have exceptional Articial Intelligence resources for sale.","Amazon, Google ve diğerleri satış için olağanüstü Yapay Zeka kaynaklarına sahiptir",3,-,-,0
46,FLUCTUATION (n),FLUCTUATION (n),"Dalgalanma, değişme","Change, variation",Signal fluctuation happens with every wireless network.,Sinyal dalgalanması her kablosuz ağda meydana gelir.,3,-,-,0
47,ILLUSTRATE (v),ILLUSTRATE (v),"Göstermek, sergilemek, resimlerle açıklamak","Show, exhibit, explain with pictures",Skeletons in the museum illustrate how humanbeings evolved.,Müzedeki iskeletler insanın nasıl evrimleştiğini gösteriyor.,3,-,-,0
48,INVENT (v),INVENT (v),"İcat etmek, keşfetmek","Create, discover, devise",He invented the lightweight fibre used in bullet-proof vests and body armour.,"O, kurşun geçirmez yeleklerde ve vücut zırhlarında kullanılan hafif elyafı icat etti.",3,-,-,0
49,INVESTIGATE (v),INVESTIGATE (v),"İncelemek, araştırmak","Examine, look into, explore",One of NASA’s main aims in space travel is to investigate ways in which the body adjusts to life in space.,"NASA’nın uzay yolculuğundaki başlıca amaçlarından biri, vücudun uzaydaki yaşama alışmasının yollarını araştırmaktır",3,-,-,0
50,LIKELIHOOD (n),LIKELIHOOD (n),"Olabilirlik, ihtimal","Probability, possibility, prospect",The likelihood that Proxima b is a transiting planet is very small.,Proxima b'nin geçiş yapan bir gezegen olma ihtimali çok düşüktür.,3,-,-,0
51,MONITOR (v),MONITOR (v),"İzlemek, gözlemlemek","Watch, observe",Equipment was installed to monitor air quality in the area.,Bölgedeki hava kalitesini izlemek için ekipman kuruldu.,3,-,-,0
52,OPPORTUNITY (n),OPPORTUNITY (n),"Fırsat, şans, olanak",Chance,Electric cars offer a unique opportunity to cut both chemical and noise pollution.,Elektrikli otomobiller hem kimyasal hem de gürültü kirliliğini azaltmak için eşsiz bir fırsat sunuyor.,3,-,-,0
53,PRIMITIVE (adj),PRIMITIVE (adj),"İlkel, basit, eski çağa ait","Simple, uncomplicated, ancient",Biologists value marine organisms because their primitive systems are good models for more complex organisms.,"İlkel sistemleri daha karmaşık organizmalar için iyi modeller olduğundan biyologlar, deniz organizmalarına kıymet verirler",3,-,-,0
54,PRODUCT (n),PRODUCT (n),"Ürün, sonuç","Result, outcome, item",Volcanic activity in central Anatolia is a product of the region's position.,"Orta Anadolu'da volkanik faaliyet, bölgenin konumunun bir ürünüdür.",3,-,-,0
55,PURPOSE (n),PURPOSE (n),"Amaç, gaye","Aim, target, goal, objective",One of the most important purposes of environmental protection is the prevention of negative impacts on public health.,"Çevrenin korunmasının en önemli amaçlarından biri, halk sağlığı üzerindeki olumsuz etkilerin önlenmesidir.",3,-,-,0
56,REASON (n),REASON (n),"Neden, sebep","Cause, basis",Part of the reason that gemstones reach high values is their rarity.,Değerli taşların yüksek değerlere ulaşmasının bir nedeni nadir olmalarıdır.,3,-,-,0
57,REGULATION (n),REGULATION (n),"Kural, kaide, düzenleme","Rule, directive, guideline",Some marine scientists believe fishing regulations are based on biased or inaccurate scientific data.,"Bazı deniz bilimciler, balıkçılık düzenlemelerinin önyargılı veya yanlış bilimsel verilere dayandığına inanmaktadır.",3,-,-,0
58,SCARCE (adj),SCARCE (adj),"Kısıtlı, yetersiz, kıt","Limited, inadequate, insufficient","Food, clean water, and compulsory vaccines are becoming scarce in Africa.","Afrika'da gıda, temiz su ve zorunlu aşılar kıtlaşıyor.",3,-,-,0
59,SIGNIFICANTLY (adv),SIGNIFICANTLY (adv),Önemli ölçüde,"Substantially, considerably",The demand for energy sources that are lightweight and powerful has significantly increased in recent years.,Hafif ve güçlü enerji kaynakları talebi son yıllarda önemli ölçüde artmıştır.,3,-,-,0
60,SURVEY (n),SURVEY (n),"Araştırma, inceleme, anket","Araştırma, inceleme, anket",They recently completed the largest astronomical survey of the sky.,Son zamanlarda gökyüzünün en büyük astronomik araştırmasını tamamladılar.,3,-,-,0
61,COMPOUND (n),COMPOUND (n),"Alaşım, bileşik", Mixture,A compound is a substance containing two or more elements in a fixed ratio.,"Bir bileşik, sabit bir oranda iki veya daha fazla element içeren bir maddedir.",4,-,-,0
62,DEMONSTRATE (v),DEMONSTRATE (v),"Göstermek, ispatlamak","Display, show, prove",Manufacturers must demonstrate that their aircraft are capable of flying safely in cold and wet conditions.,"İmalatçılar, uçaklarının soğuk ve ıslak koşullarda güvenli bir şekilde uçabileceğini göstermelidir.",4,-,-,0
63,DISCOVERY (n),DISCOVERY (n),"Buluş, keşif","Detection, finding, unearthing",One of the great advances of astronomy over the past decade has been the discovery of planets outside our solar system.,"Son on yılda gökbiliminin büyük ilerlemelerinden biri, güneş sistemimizin dışındaki gezegenlerin keşfedir.",4,-,-,0
64,DIVERSE (adj),DIVERSE (adj),"Çeşitli, farklı","Various, different",Research in the field of biology in recent years has yielded amazing knowledge about the human species and about thousands of other diverse life forms.,"Son yıllarda biyoloji alanındaki araştırmalar, insan türüne ve diğer binlerce farklı yaşam biçimine ilişkin şaşırtıcı bilgiler ortaya koymuştur",4,-,-,0
65,DRIFT (n),DRIFT (n),"Sürüklenme, kayma","Float, flow, glide",The theory of continental drift might have been accepted decades earlier.,Kıtasal kayma teorisi on yıllar önce kabul edilmiş olabilir.,4,-,-,0
66,ELIMINATE (v),ELIMINATE (v),"Bertaraf etmek, ortadan kaldırmak, kurtulmak","Get rid of, remove, eradicate",Most governments have taken some precautions to eliminate environmental pollution.,"Çoğu hükümet, çevre kirliliğini ortadan kaldırmak için bazı önlemler almıştır.",4,-,-,0
67,FAMILIAR (adj),FAMILIAR (adj),"Aşina, tanıdık","Recognizable, acquainted",Probably every literate person is familiar with the famous relativity equation: E=mc2.,Muhtemelen her okuryazar kişi ünlü izefiyet denklemine aşinadır: E = mc2.,4,-,-,0
68,GROW (v),GROW (v),"Büyümek, yetişmek, gelişmek","Produce, develop",Genetic engineers are determined to grow crops in a shorter period of time.,"Genetik mühendisleri, daha kısa sürede ürün yetiştirmeye kararlılar",4,-,-,0
69,HARSH (adj),HARSH (adj),"Sert, ağır, kaba","Severe, bleak, austere",The 1997 Kyoto Protocol contains a set of extremely harsh sanctions on gas emissions,"1997 Kyoto Protokolü, gaz emisyonlarıyla ilgili son derece sert bir dizi yaptırımlar içeriyor.",4,-,-,0
70,INADEQUATE (adj),INADEQUATE (adj),"Yetersiz, noksan, eksik","Insufficient, scarce","In underground mines, inadequate ventilation ise the greatest hazard.",Yeraltı madenlerinde yetersiz havalandırma en büyük tehlikedir.,4,-,-,0
71,INCREASE (v),INCREASE (v),"Artırmak, yükseltmek","Boost, amplify, enhance",Moon and Mars missions increased scientific knowledge about extraterrestrial bodies.,"Ay ve Mars görevleri, dünya dışı cisimler hakkındaki bilimsel bilgiyi arttırdı.",4,-,-,0
72,INTENSIFY (v),INTENSIFY (v),"Yoğunlaştırmak, artırmak, güçlendirmek","Strengthen, escalate, step up, boost",Competition in the electric vehicle market is intensifying.,Elektrikli araç pazarındaki rekabet artıyor,4,-,-,0
73,LINK (n),LINK (n),"İlişki, bağ","Connection, relation, association, bond",Superfluid helium has profound mathematical links with the cosmos.,Süper akışkan helyum kozmos ile derin matematiksel bağlantılara sahiptir.,4,-,-,0
74,OBSERVATION (n),OBSERVATION (n),"Gözlem, izleme","Scrutiny, watching, inspection",An astronomer must record celestial motions through careful observation.,Bir gökbilimci dikkatli gözlem ile göksel hareketleri kaydetmelidir.,4,-,-,0
75,OUTCOME (n),OUTCOME (n),"Netice, sonuç","Consequence, result",A significant outcome of air pollution is the high cost of cleanup and prevention.,Hava kirliliğinin önemli bir sonucu temizleme ve önleme maliyetinin yüksek olmasıdır.,4,-,-,0
76,PARTICULARLY (adv),PARTICULARLY (adv),"Özellikle, bilhassa","Especially, notably","The pasteurization process is still used today, particularly for milk.","Pastörizasyon işlemi, bugün özellikle süt için kullanılmaktadır.",4,-,-,0
77,PESTICIDE (n),PESTICIDE (n),Böcek ilacı,Insecticide,The pesticides that farmers use can also damage people's health.,Çiftçilerin kullandığı böcek ilaçları insanların sağlığına da zarar verebilir.,4,-,-,0
78,PREVENTION (n),PREVENTION (n),"Koruma, önleme, engelleme","Deterrence, inhibition, hindrance",They have developed efficient technologies for the prevention of environmental pollution,Çevre kirliliğinin önlenmesi için etkin teknolojiler geliştirdiler,4,-,-,0
79,RELIABILITY (n),RELIABILITY (n),"Güvenilirlik, tutarlılık","Dependability, consistency",Some experts question the reliability of genetically modified food.,Bazı uzmanlar genetiği değiştirilmiş gıdaların güvenilirliğini sorguluyor.,4,-,-,0
80,SAMPLE (n),SAMPLE (n),"Numune, örnek","Example, tester, model",Duke University researchers analyzed each sample collected from 98 locations across North and South America for genetic variation.,"Duke Üniversitesi araştırmacıları, genetik varyasyon için Kuzey ve Güney Amerika'daki 98 lokasyondan toplanan her bir numuneyi analiz etti.",4,-,-,0
81,AFFECT (v),AFFECT (v),"Etkilemek, tesir etmek","Influence, impact",The change in temperature distribution in the Arctic would also affect ocean currents.,"Arktik sıcaklık dağılımındaki değişim, okyanus akıntılarını da etkiler.",5,-,-,0
82,COMBINE (v),COMBINE (v),"Birleş(tir)mek, bir araya gelmek","Unite, join, merge","The rise of sea levels, when combined with more intense storms in the future, would be a deadly combination.",Gelecekte daha şiddetli fırtınalarla birleştiğinde deniz seviyesinin yükselmesi ölümcül bir kombinasyon olacaktır.,5,-,-,0
83,CONTAIN (v),CONTAIN (v),"İçermek, ihtiva etmek","Hold, have, include",The ashes of the burnt organic matter contain many minerals.,Yanmış organik maddenin külleri birçok mineral içerir.,5,-,-,0
84,CURRENTLY (adv),CURRENTLY (adv),"Şuan, mevcut durumda","At present, now, at this time, presently",Biofuels are currently produced from crops such as corn and sugar cane.,Biyoyakıtlar şu anda mısır ve şeker kamışı gibi ürünlerden üretilmektedir,5,-,-,0
85,DESERT (n),DESERT (n),Çöl,"Wasteland, barren region", Many countries now suffer from the expansion of deserts.,Pekçok ülke şimdilerde çöllerin genişlemesinden muzdariptir.,5,-,-,0
86,DETERMINE (v),DETERMINE (v),"Saptamak, belirlemek","Find out, verify, ascertain, uncover",The origin of the Himalayas is difficult to determine due to changes in the composition of its rocks,Kayaların bileşimindeki değişiklikler nedeniyle Himalayaların kökenini belirlemek zordur.,5,-,-,0
87,EVALUATE (v),EVALUATE (v),"Kıymetlendirmek, değerlendirmek","Assess, appraise",Every computer user should evaluate his or her situation in regard to upgrades,"Her bilgisayar kullanıcısı, güncellemelerle ilgili durumunu değerlendirmelidir.",5,-,-,0
88,FUME (n),FUME (n),"Duman, gaz","Emission, smoke, gas",The lead from exhaust fumes is released into the atmosphere.,Egzoz gazı kaynaklı kurşun atmosfere salınır.,5,-,-,0
89,GATHER (v),GATHER (v),"Toplanmak, bir araya gelmek","Get together, assemble",Sharks gather at marine mammal habitats in California during autumn,"Köpekbalıkları, sonbaharda  Kaliforniyadaki deniz memelileri yaşam alanlarında bir araya gelirler.",5,-,-,0
90,HEIGHTEN (v),HEIGHTEN (v),"Artırmak, yükseltmek","Intensify, amplify, increase, enhance",Dwindling oil reserves and concerns about exhaust emissions have heightened the search for more sustainable sources,"Azalan petrol rezervleri ve egzoz emisyonlarıyla ilgili endişeler, daha sürdürülebilir kaynak arayışını artırmıştır.",5,-,-,0
91,IMPROVE (v),IMPROVE (v),"Saptamak, belirlemek, bulmak","Get better, enhance, advance",More research and development initiatives are required to improve a design,Bir tasarımı iyileştirmek için daha fazla araştırma ve geliştirme girişimi gerekmektedir,5,-,-,0
92,LAYER (n),LAYER (n),"Tabaka, katman","Sheet, cover",The atmosphere is an invisible layer of gases that envelops the Earth.,"Atmosfer, Dünyayı saran görünmez bir gaz katmanıdır",5,-,-,0
93,MENACE (n),MENACE (n),"Tehdit, korku","Threat, danger, hazard, peril",Fungi are a microscopic menace to global health and food security.,"Mantarlar, küresel sağlık ve gıda güvenliği için mikroskopik bir tehdit oluşturmaktadır.",5,-,-,0
94,MILD (adj),MILD (adj),"Ilıman, hafif, yumuşak","Slight, minor, unimportant",H7N9 causes severe disease in people but only mild in poultry.,"H7N9 insanlarda ağır hastalığa neden olur, ancak tavuklarda hafiftir.",5,-,-,0
95,OBTAIN (v),OBTAIN (v),"Edinmek, elde etmek, kazanmak","Get hold of, gain, attain, acquire, achieve",Explanation of the general causes of certain phenomena is obtained from experiments.,Bazı olguların genel nedenlerinin izahı deneylerden elde edilmiştir.,5,-,-,0
96,PLAUSIBLE (adj),PLAUSIBLE (adj),"Makul, akla yatkın","Reasonable, sensible, logical",That the carbon molecules in the microbes come from methane is a plausible answer,Mikropların içindeki karbon moleküllerinin metandan geldiği mantıklı bir cevaptır,5,-,-,0
97,POLICY (n),POLICY (n),"Politika, hareket tarzı, plan","Course of action, strategy, plan",A significant policy change in management approaches is needed to prevent or reverse desertification,Çölleşmeyi önlemek veya tersine çevirmek için yönetim yaklaşımlarında önemli bir hareket tarzı değişikliği gerekiyor.,5,-,-,0
98,RELATIVELY (adv),RELATIVELY (adv),"Nispeten, oranla","Comparatively, moderately","Since Viking Mission, humans have done relatively little to advance the crewed exploration of space","Viking Görevinden bu yana, insanlar mürettebatlı uzay araştırmalarını geliştirmek için nispeten az şey yapmışlardır.",5,-,-,0
99,SAVE (v),SAVE (v),"Kurtarmak, biriktirmek, korumak","Protect, keep, hold",Water recycling is reusing wastewater to save both energy and the environment.,Su geri dönüşümü hem enerjiyi hem de çevreyi korumak için atık suyu yeniden kullanmaktır.,5,-,-,0
100,STRICT (adj),STRICT (adj),"Katı, sıkı, sert","Harsh, firm, severe",Strict training methods allow the human body to adapt to space.,"Sıkı eğitim yöntemleri, insan vücudunun uzaya uyum sağlamasına olanak sağlar.",5,-,-,0
101,ASSEMBLE (v),ASSEMBLE (v),"Toplanmak, bir araya getirmek","Bring together, collect, accumulate, amass, gather",She assembled archaeologists and other experts to take a closer look at the mysterious structures.,Gizemli yapılara daha yakından bakmak için arkeologları ve diğer uzmanları biraraya getirdi.,6,-,-,0
102,AVAILABLE (adj),AVAILABLE (adj),"Mevcut, Elde, ulaşılabilir","Obtainable, accessible, on hand",Scientists are beginning to adopt innovative approaches to convert available energy into chemical fuels.,"Bilim adamları, mevcut enerjiyi kimyasal yakıtlara dönüştürmek için yenilikçi yaklaşımlar benimsemeye başlıyorlar.",6,-,-,0
103,BENEFIT (n/v),BENEFIT (n/v),"Fayda sağlamak, yarar","Take advantage of, advantage, profit","Certainly, engineers benefit from scientific theory.","Elbette, mühendisler bilimsel teoriden faydalanırlar.",6,-,-,0
104,COMMON (adj),COMMON (adj),"Yaygın, bilinen","Widespread, general, familiar",The most common view among scientists is that mathematics and physics are quite different,"Bilim insanları arasındaki en yaygın görüş, matematiğin ve fiziğin oldukça farklı olmasıdır.",6,-,-,0
105,CONDITION (n),CONDITION (n),"Koşul, durum","State, form","Under special conditions, the most powerful electron microscopes can detect individual atoms.","Özel koşullar altında, en güçlü elektron mikroskopları bireysel atomları tespit edebilir.",6,-,-,0
106,DECREASE (v),DECREASE (v),Azal(t)mak,"Lower, lessen, reduce, diminish",Humidity decreases as temperatures increase,Sıcaklıklar arttıkça nem azalır.,6,-,-,0
107,DEVELOP (v),DEVELOP (v),"Geliş(tir)mek, ilerlemek","Advance, progress, enhance, improve",Scientists continue to develop new alloys with special properties.,"Bilim adamları, belli özel özellikleri olan yeni alaşımlar geliştirmeye devam ediyor",6,-,-,0
108,ENORMOUS (adj),ENORMOUS (adj),"Muazzam, kocaman, devasa","Huge, massive, giant, colossal, tremendous",Enormous eruptions of basaltic lava occurred 4.5 billion years ago.,"Bazaltik lavın devasa patlamaları 4,5 milyar yıl önce meydana geldi.",6,-,-,0
109,FOCUS ON (phr v),FOCUS ON (phr v),Odaklanmak,"Concentrate on, center",Architects tend to focus on form rather than function.,Mimarlar işlev yerine şekil üzerine odaklanırlar.,6,-,-,0
110,HAZARDOUS (adj),HAZARDOUS (adj),"Tehlikeli, riskli","Dangerous, risky, perilous",New bioplastics are less hazardous to our planet and our natural resources.,"Yeni biyoplastikler, gezegenimiz ve doğal kaynaklarımız için daha az tehlikeldir.",6,-,-,0
111,IGNORE (v),IGNORE (v),"İhmal etmek, görmezden gelmek","Pay no attention, overlook, take no account",Some people ignore how a device works and only care about its usefulness.,Bazı insanlar bir cihazın nasıl çalıştığını görmezden gelir ve yalnızca onun kullanışlılığına önem verir.,6,-,-,0
112,IMPACT (n),IMPACT (n),"Etki, tesir","Influence, effect",The impacts of Zika in South America are at almost immeasurable level.,Zika'nın Güney Amerika'daki etkileri neredeyse ölçülemez düzeydedir.,6,-,-,0
113,LACK of (n),LACK of (n),"Yoksunluk, eksiklik, olmama","Absence, nonexistence, deficiency, scarcity",Lack of standards made scientific communication difficult.,Standartların olmaması bilimsel iletişimi zorlaştırdı,6,-,-,0
114,OBVIOUS (adj),OBVIOUS (adj),"Açık, aşikar, net","Clear, evident, apparent",Climate change is an obvious and pressing concern.,İklim değişikliği aşikar ve acil bir meseledir.,6,-,-,0
